allegation,allegation_classification,allegation_categories,allegation_categories_description
"DR. 03:09.957.01 Willful disregard of agency rules, regulations, policies or procedures.DR.03:09.955.01 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. DR.03:09.966.01 Fraternization- Personal or other relationship between an employee and a know felon, transitional work program inmate, or any incarcerated individual.",Neglect of Duty and Professionalism,,
Disobeying orders of a supervisor - warning,Neglect of Duty and Professionalism,,
DR.03:09.932.01 (b) Disobeying orders of a supervisor warning,Neglect of Duty and Professionalism,,
Group 2 - DR.03:09.931.02 - Relative to failure to act when necessary - warning,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 - b- Inadequate or unsatisfactory job performance - Reports - Group DR.03:09.919 b- willful failure to make required reports - written warning,Neglect of Duty and Professionalism,,
DR.02:003.105 Chain of Command - warning,Neglect of Duty and Professionalism,,
DR.03:09.916.01 b. - Inadequate or unsatisfactory job performance c. Unsatisfactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
"DR.03:09.957.01 - Willful disregard of Agency rules regulations, policies or procedures. DR.03:09.955.01 - Engaging in dishonest conduct that undermines the effectiveness of the agency's activities or employees performance, whether on or off the job. DR.03:09.955.01 F - Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. - discharged",Neglect of Duty and Professionalism,,
"Group 3 - DR.03:09.957.01 - Failure to observe policy - willful disregard of Agency rules, regulations, policies or procedures - DR.03.09.970.01 - Job Performance - Wanton or willful neglect of duties - DR.03:09.975.01- Violating safety rules where there is a threat to life - suspension - 40 hours",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Failure to follow supervisors instructions, perform assigned work, or otherwise comply with policy and procedures - warning",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916 (b) Inadequate or unsatisfactory job performance and Group 1 - DR.03:09.915.01 Employee Relations,Neglect of Duty and Professionalism,,
SOP.0085.01.010.01 - Cash balance procedure - short $20.00 - probation 30 days,Neglect of Duty and Professionalism,,
"Drug Free Workplace - DR.-3:08.1300 (8) - Group 3 - DR.03.09.95.01 d. engaging in any criminal conduct either on or off the job; e. engaging in dishonest conduct that undermines the effectiveness of the agency activities or employee's performance, whether on or off the job. f. taking any action which will impair the efficiency or reputation of the agency, its members or employees. - 40 hour suspension",Engaging in Criminal Activity,,
Group 1 - DR.03:09.915.01 b -Failure to work cooperatively with other employees or supervisors - warning,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 - (b) inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
Introductory Period Removal - termination,Other Allegation,,
"Group 2 DR.03:09.932.01 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
Group 2 - DR.03:09.931.01 c - Failure to properly supervise subordinates- warning,Neglect of Duty and Professionalism,,
verbal warning - making decisions of employees time,Neglect of Duty and Professionalism,,
"Dr. 03:09.932.01 Insubordination-Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. 24hour suspension",Neglect of Duty and Professionalism,,
DR.03:09.031 - c - failure to properly supervisor subordinates or to follow through with appropriate disciplinary action when knowledge of a violation is observed and/or reported/discovered.,Neglect of Duty and Professionalism,,
DR.03:08.1165 - Improper relationships between deputies and incarcerated individuals; DR.03:08.000 A. Members of the STPSO shall conduct themselves at all times on and off duty in such a manner as to reflect most favorably on the Agency - allowed to resigned Per Sheriff Smith,Other Allegation,,
Group 2 - DR.03:09.932 b - 24 hours suspension,Neglect of Duty and Professionalism,,
DR.03:09.916.01 Inadequate or unsatisfactory job performance & C. Unsat. Work or failure to maintain required standard of performance,Neglect of Duty and Professionalism,,
DR.07:0200.400 - Maintenance and care of Vehicles - Preventative maintenance in its entirety and adhere to all safety rules - suspension 80 hours,Improper Use or Destruction of Equipment,,
"DR. 03:09.957.01 Willful disregard of agency rules, regulations, policies or procedures.DR. 03:09.932.1 Failure to follow supervisors instruction, perform assigned work, or otherwise comply with policy and procedure.",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.915.01 - Interfering with the work of others - warning,Neglect of Duty and Professionalism,,
Inadequate or unsatisfactory work performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.970 a. - job performance - wanton or wilful neglect of duties. - suspension 40 hours and trf to Court Security,Neglect of Duty and Professionalism,,
Citizen made a complaint of aggressive driving on I12 - Group 1 - DR.03:09.920.01b - written warning,Improper Use or Destruction of Equipment,,
Group 1 - Absences/Tardiness - DR.03:09.11.01 - warning,Neglect of Duty and Professionalism,,
"Group 2 - DR.03:09.933.01 - Language/ conduct - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees - suspension 16 hours",Racial Profiling and Discrimination,,
Group 1 - DR.03:09.914.01 - (D) - abuse of duty time (too much time away from established duties; too much time for personal business - Inadequate or unsatisfactory job performance. - warning,Neglect of Duty and Professionalism,,
"Group 3 - DR.03:09.955.01 - f. taking any action which will impair the efficiency or reputation of the Agency - DR.03:09.955.01 d. engaging in any criminal conduct either on or off duty. DR.03:09.957.01 - willful disregard of Agency rules, regulations, policies or procedures - terminated",Engaging in Criminal Activity,,
"Internal Affairs investigation Failure to Observe Policy - Group 3 - DR.03:09.957.01 - willful disregard of agency rules, regulations, policies or procedures - Job Performance - Group 3 - DR.03:09.970.01 a. wanton or willful neglect of duties - Discharged",Neglect of Duty and Professionalism,,
"DR.:09.957.01 Willful disregard of agency rules, regulations, policies or procedures.",Neglect of Duty and Professionalism,,
Group 3 - DR.03:09.977.01 - Sleeping on Duty - Suspension 40 hours,Neglect of Duty and Professionalism,,
SOP.480:01.120.02 (1) - All details must be approved by the Detail Coordinator or a DFA prior to the detail being worked. SOP.480:01.120.02 (7) - All fulltime employees must pay an expense fee per hour for their reimbursement of STPSO expenses. SOP.480:01.120.02 (3) - Any deputy that a detail that is not reported and approved will be suspended from working details for one year - suspension for 1 year for details,Other Allegation,,
Group 2 - DR.03:09.931.02 - failure to act when necessary - 8 hour suspension,Neglect of Duty and Professionalism,,
"Group 1 - DR.03:09.920.07 - Safety - Failure to follow safety rules and procedures - Group 2 - DR.03:09.932.01 - Insubordination - Failure to follow supervisor instruction, perform assigned work, or otherwise comply with policy and procedure - (missed a fight among 2 inmates - 24 hours suspension",Neglect of Duty and Professionalism,,
Failure to follow eviudence collection policy,Neglect of Duty and Professionalism,,
"DR.03:09.970.01 (a) - Job Performance - wanton or willful neglect of duties - (b) manifesting cowardice, feigning illness, or otherwise attempting to shirk official duty. DR.03:09.955.01 - Group 3 (f.) Taking any action which will impair the efficiency or reputation of the Agency, its members or employees. - suspension - 40 hours",Neglect of Duty and Professionalism,,
Unsatisfactory Work Performance - Warning,Neglect of Duty and Professionalism,,
"Group 3- DR.03:08.1165 - Improper relationships between deputies and incarcerated individuals - Fraternization is also the undertaking of a personal relationship, or association with or without a sexual realtionship, by a Deputy with a know felon, work release person or any incarcerated individual - Public Payroll Fraud - Louisiana Revised statue title 14:138 - termination",Sexual Misconduct and Harassment,,
Failure to call in absence and unexcused absence chronic unexcused tardiness - suspension - 8 hours,Neglect of Duty and Professionalism,,
"DR.03.09.933.01 - Group 2 - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other employees of STPSO - suspension 16 hours",Racial Profiling and Discrimination,,
"DR.03:09.952.01d Driving while under the influence of alcohol or drugs DR.03:09.955.01d Engaging in any criminal either on or off the job DR.03:09.955.01 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees",Engaging in Criminal Activity,,
Vehicle Use - DR. 07:100.325 - 7. Vehicles shall be used outside of St. Tammany Parish only an official business or with the expressed permission of the Deputy's Division Commander - warning,Improper Use or Destruction of Equipment,,
"DR.03:10.201 - A newly apponted employee may be removed or reduced in job grade or description by the Sheriiff, or his designee - Terminated",Other Allegation,,
"Group 1 - Job Performance - DR.03:09.916.01 - Inadequate or unsatisfactory job performance, © unsatisfactory work or failure to maintain required standard of performance - warning",Neglect of Duty and Professionalism,,
Failure to call in absence and unexcused absence chronic unexcused tardiness - warning,Neglect of Duty and Professionalism,,
"DR.03:08.000 - Employee Conduct - Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. A. Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. D. Each employee has an obligation to observe and follow the STPSO policies and to maintain proper standards of conduct at all times as described herein. If an individual's behavior interferes with the orderly and efficient operation of the Agency, corrective disciplinary measures may be taken. Group 3 - DR.03:09.955 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. DR.03:09.979.01 d. Discussing Agency legal matters with press or members of the public unless authorized by the Sheriff or his designee - Demoted",Neglect of Duty and Professionalism,,
Dr. 03.09.970.01 Wanton or willful neglect of duties.,Neglect of Duty and Professionalism,,
"DR.07:100.120 1. Any deputy traveling from one point to the other, except during pursuit or on emergency traffic, shall not exceed the legal posted speed limit. Excessive speed, reckless driving, and other dangerous procedures are prohibited - warning",Excessive Use of Force,,
DR.03:01.105 - Fair Employment Practices - DR.03:08.1200 - Harassment - 4 Any supervisor or management employee who observes any behavior that could be interpreted as sexual harassment is responsible for taking prompt action to stop the behavior. Group 2 DR.03:09.931.02 d - Failure to properly supervise subordinates or to follow through with appropriate disciplinary action when knowledge of a violation is observed and/or reported/discoverd DR.03:09.932.01 Failure to follow supervisors instructions perform assigned work or other wise comply with policy and procedure - warning see file,Sexual Misconduct and Harassment,,
Failure to follow policy in reference to property and evidence and failure to follow supervisor's instructions perform assigned work or otherwise comply with (evidence) polcy and procedure - suspended 24 hrs and trf to patrol,Mishandling Evidence,,
DR.07:100.000 - Assignment & Operation of Agency Vehicles - All personnel operateing agency motor vehicles shall exericse due regard for the safety of all persons - 8 hour suspension,Improper Use or Destruction of Equipment,,
Group 3 - DR>03:05.150 - Code of Ethics A. An employeee must always conscientiously perform all assigned job duties. DR.03.09.970 a. wanton and willful neglect of duties - terminated.,Neglect of Duty and Professionalism,,
Subject was arrested - Deputy placed subject in car - forgot to check if child lock was active. Subject was able to open doorear doors and flee unnoticed. DR.03:09.932.01 - Insubordinaton relative to failure to comply with policy and procedures - DR.09.1950.000 - Prisoner Transportation & SOP1950.1000.060 - Observation of a prisoner during transportation - 16 hours suspension,Neglect of Duty and Professionalism,,
"DR,03:09.916 b/c - Inadequate or unsatisfactory job performance and unsatisfactory work or failure to maintain required standard or performance - warning",Neglect of Duty and Professionalism,,
DR.03:09.919.c Failure to submit (property) written reports within a reasonable time as per regualtion,Neglect of Duty and Professionalism,,
"Group 1 - DR.03:09.920.07 - Safety - Failure to follow safety rules and procedures - Group 2 - DR.03:09.932.01 - Failure to supervisor instruction, perform assigned work, or otherwise comply with policy and procedure (Group 2) - 24 hours suspension",Neglect of Duty and Professionalism,,
DR.03:09.933.01 -for his conduct to his supervisor - warning,Neglect of Duty and Professionalism,,
DR.03:09.914.01 - Abuse of duty time; DR.03:09.916.01 - Inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.916.01 © - unsatisfactory work or faiure to maintain required standard of work and DR.03:09.919 c - failure to submit properly written reports within a reasonable amount of time as per regulation - warning,Neglect of Duty and Professionalism,,
"DR.03.10.201 - A newly appointed employee may be removed or reduced in job grade or description by the Sheriff, or his designee, at any time during the Introductory period - terminated",Other Allegation,,
"DR.03:09.952.01 b. Possessing, selling or being under the influence of illegal drugs while on or off duty DR.03:09.955.01 d. Engaging in any criminal conduct either on or off the job f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures DR.03:09.966.01 c. Romantic or intimate personal or other close relationships between an employee and a known felon, Transitional Work Program inmate, or any incarcerated individual.",Engaging in Criminal Activity,,
"Group 2 - DR.03:09.932.01 - Insubordination - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - written warning",Neglect of Duty and Professionalism,,
"DR.03.09.916.01 - a. Neglect of work, b. Inadequqate or unsatisfactory job performance. C. Unsatisfactory work or failure to maintain required standard of perfromance - warning",Neglect of Duty and Professionalism,,
"Group 1, DR. 03:09.915.01 (b) - Failure to work cooperatively with other employees or supervisors and Group 2 DR.03:09.932.01 - Insubordination - Failure to follow supervisor instructions, perform assigned work, ortherwise comply with policy and procedure - suspended 8 hours",Neglect of Duty and Professionalism,,
Failure to call in absence and unexcused absense - warning,Neglect of Duty and Professionalism,,
"Group 3 - DR.03.09.966.01 - Romantic or intimate personal or other close relationships between an employee and a known felon, transitional work program inmate, or any incarcerated individual - 40 hour suspension",Neglect of Duty and Professionalism,,
DR.03.08.300 - Tardiness - General - verbal,Neglect of Duty and Professionalism,,
DR.03:09.915.01 b. Failure to work cooperatively with other employees or supervisors,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. - 40 hour suspension",Neglect of Duty and Professionalism,,
cash balances procedures - SOP.0085.01.010.01 - paragraph 4,Other Allegation,,
"Group 2 - Insubordination - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work or otherwise comply with policy and procedure - suspension 24 hours",Neglect of Duty and Professionalism,,
DR.03:09.931 (B) - failure to act when necessary. 8 - hours of suspension,Neglect of Duty and Professionalism,,
Group 2 - DR.03:09.931.02 b - failure to report a vehicle or accident or incident - Group 3 - Crimminal/Immoral Conduct - DR.03:09.931.02 (b) - 40 hours suspension,Improper Use or Destruction of Equipment,,
DR.03:09.935.01 c. Unauthorized use or misuse of Agency's property or equipment - warning,Improper Use or Destruction of Equipment,,
DR.03:09.918.01 b - Prohibited use and/or misuse of Agency computers and/or software - warning,Improper Use or Destruction of Equipment,,
DR.03:09.932.01 - Insubordination - DR.03:09.916.01 (Job performance) relative to DR.09:1100.000 (collection and preservation of evidence - verbal warning,Mishandling Evidence,,
"Group 1 - DR.03:09.920.07 - Safety - Failure to follow safety rules and procedures. DR.03:09.916.01 inadequate job performance. DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures. 03.09.970.01 Wanton or willful neglect of duties.",Neglect of Duty and Professionalism,,
DR.03:09.916.01 - Job performance - neglect of work. DR.03:09.932.01 - 16 hour suspension,Neglect of Duty and Professionalism,,
"DR.03:09.933.01 - Using Rude, discourteous racial related for insulting language or conduct offensvie to the public, supervisors, or other employess of STPSO - warning",Neglect of Duty and Professionalism,,
"DR.03:09.955.01- E Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees..DR.03:09.955.01f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees",Neglect of Duty and Professionalism,,
DR.03:09.915.01 - b - failure to work cooperatively with other employees or supervisors DR.03:09.916.01 b - inadequate or unsatisfactory job performance -DR.03:09.916 c - Unsatisfactory work or failure to maintain required standard of performance - 24 hour suspension,Neglect of Duty and Professionalism,,
Dr.03:09.900.01- Insubordination by failure to follow supervisor instrions,Neglect of Duty and Professionalism,,
DR.03:09.931.02 Failure to Act when necessary,Neglect of Duty and Professionalism,,
Hearing a knock on the window is normal for the pod deputy and a staff member trying to gain access - did not verify if it was a deputy unlock the door an allowed an inmate in the pod - Group 1 - DR.03:09.920.01 (a) - Safety - failure to follow safety rules and procedures - Group 2 - Insubordination - failure to comply with policy and procedure - 8 hours suspension,Neglect of Duty and Professionalism,,
Violation of Rules/Policy - Suspension - 24 hours,Neglect of Duty and Professionalism,,
"DR.03:09.933.01 - Language/Conduct - Using rude discourteous, racial related or insulting language; or conduct offensive to the public, supervisors, or other STPSO employees - warning",Neglect of Duty and Professionalism,,
Absent without leave - suspension,Neglect of Duty and Professionalism,,
Insubordination - Suspension - 8 hours,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 (b) - Job Performance - Inadequate or unsatisfactory job performance - verbal warning,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. - warning",Neglect of Duty and Professionalism,,
"DR.03:09.957.01 - Willful disregard of Agency rules regulations, policies or procedures. DR.03:09.955.01 -",Neglect of Duty and Professionalism,,
"DR.07:100.550 Routine Operation, will be disciplined under Group 2 DR:03:09.931.02(b)Failure to Act: Failure to Report a Vehicle Accident - 8 hour suspension",Improper Use or Destruction of Equipment,,
Failed to conduct a proper pat down on females inmates - DR.03:09.920.01 a. - Failure to follow safety rules and procedures - suspension 16 hours,Sexual Misconduct and Harassment,,
"DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures.x3 Dr. 03.09.970.01 Wanton or willful neglect of duties.x2 Group 1 - DR.03:09.920.07 - Safety - Failure to follow safety rules and procedures. DR.03:09.916.01 inadequate job performance",Neglect of Duty and Professionalism,,
Unauthorized use or misuse of Agency's property & Failure to properly supervise subordinates,Improper Use or Destruction of Equipment,,
"SOP.1100:02.000- Property and Evidence Control procedures; DR.03:09.957.01 - Group 3 - Willful disregard of agency rules, regulations, policies and procedures - DR.03:09.957.01 a. wanton or willfuld neglect of duties - 80hours",Mishandling Evidence,,
SOP.0085:01.010.1 - Cash Balance Procedure - Employees resonsible for processing cash transactions within the STPSO have an obligation to balance these transactions - other 1 year probation,Other Allegation,,
"DR.03:08.1300 - Drug Free Workplace Policy - 4. Employees are prohibited from the use, sale, dispensing, distribution, possession or manufacture of illegal drugs; 8. Employees will be subject to disciplinary actions up to and including dismissal, for violations of this policy. Such violations include, but are not limited to, possessing illegal or non-prescribed drugs and narcotics or alcoholic beverages at work; being under the influence of such substances while working; using them while working or dispensing, distibuting, or illegally manufacturing or selling them on STPSO premises and work site - suspension 24 hours",Engaging in Criminal Activity,,
"DR.03.09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - Violating safety rules where there is a threat to life DR.03:09.970.01 a Wanton or willful neglect of duty - DR.03.09.960.01 d. Knowingly making any false statement",Falsifying Statements and Reports,,
DR.03:09.916.01 b - Unsatisfactory Work Performance - Warning,Neglect of Duty and Professionalism,,
unsatisfactory work performance - verbal warning,Neglect of Duty and Professionalism,,
Group 1- DR.03:09915.01 b - failure to work cooperatively with other employees or supervisors - warning,Neglect of Duty and Professionalism,,
"DR.03:09.916.01 - Unsatisfactory work or failure to maintain required standard of performance - DR.03:09.932.01 - Failure to follow supervisor insturctions, perform assigned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
"DR.03?:08.230 - Employee Conduct (5) IF you are absent for three days without notifying the STPSO, it is assumed that you have voluntary abandoned your position with the STPSO, and you will be terminated and removed from payroll. (6) in addition, a record of repeated absenteeism may be grounds for dismissal. Absences/Tardiness DR,03:09.957 (b) absence in excess of twenty four without notice to a supervisor - Failure to observe policy - willful disregard of Agency rules, regulations, policies or procedures - termination",Excessive Use of Force,,
DR.03:09.916.01 - Failure to maintain standards of performance for dozing while conducting his job duties - warning,Neglect of Duty and Professionalism,,
DR.03:02.700.01 - Introductory period - terminated,Other Allegation,,
Group 1 - DR.03:09.915.01 - Employee Relations - a. interfering with the work of others and b. failure to work cooperatively with other employees or supervisors. Group 2 DR.03:09.02 - Failure to Act d. Failure to properly supervise subordinates. Warning,Neglect of Duty and Professionalism,,
"DR.03:09.500.01 - 1. Employees may be reduced in pay or position, suspended, terminated or otherwise disciplined by the Sheriff, or his designee, at their discretion, for among other reasons: violation of local, state or federal criminal laws, any act impairing the efficiency or reputation of the Agency, its members or deputies. DR.03:09.955.01 - d. engaging in any criminal conduct either on or off the job; f. taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. - terminated",Engaging in Criminal Activity,,
DR. 03:09.977.01 Sleeping on duty,Neglect of Duty and Professionalism,,
"Group 2 - DR.03:09.932.01 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. For failure to adhere to the POST Academy rules, Cadet Labourdette has been dismissed from the Academy and shall reprot to her assignment in Corrections - suspension 24 hours",Neglect of Duty and Professionalism,,
"DR.03:09.931.01 Group 2 Fialure to Act © Failure to Properly supervise subordinates - During July 2, 2012 - Sgt O'Cull overall performance in supervising the Major Crimes Unit - many subordinates were neglecting to complete their investigatory reports in a timely manner - warning",Neglect of Duty and Professionalism,,
DR.03:09.911.01 - Absensces/Tardiness - Group 1 - Chronic unexcused tardiness or absences,Neglect of Duty and Professionalism,,
"DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures as it relates to Employee Conduct. - Demotion from Lieutenant to Sergeant & transfer to Corrections.",Neglect of Duty and Professionalism,,
"DR.03:09.933.01 - Using Rude, discourteous racial related for insulting language or conduct offensvie to the public, supervisors, or other employess of STPSO - 16 hours suspension",Neglect of Duty and Professionalism,,
DR.07:100.000 - Assignment & Operation of Agency Vehicles - All personnel operateing agency motor vehicles shall exericse due regard for the safety of all persons - verbal warning,Improper Use or Destruction of Equipment,,
"Code of Ethics - All Employees DR.08:08.150 a. An employee must always conscientiously perform all assigned job duties - Group 2 - Insubordination - DR.03:09.932.01 - Failure to follow supervisor instructions, peform assigned work or otherwise comply with policy and procedure - Group 3 - DR.03:09.970.01 - wanton or willful neglect of duties - demoted from Sergent to Deputy",Neglect of Duty and Professionalism,,
DFC did not turned his K9 records - warning,Neglect of Duty and Professionalism,,
Group 3 - DR.03:09.957.01 - Wanton or willful neglect of duty (failure to complete monthly and weekly inspection reports - Group 3 - Falssifying Records - DR.09.960.01 - Improperly destroying STPSO records - terminated,Falsifying Statements and Reports,,
DR.03:09.935.C Failure to care for assigned equipment or other agency property - 8 hour suspension & 60-day loss of unit,Improper Use or Destruction of Equipment,,
Excessive absences - suspension,Excessive Use of Force,,
Group 1 - DR.03:09.920.01 - Safety - Contributing to or creating unsafe or unsanitary conditions,Neglect of Duty and Professionalism,,
"DR.03:09.955.01a Conduct violating morality or common decency (sexual harrassment). DR.03:09.955.01f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees & DR.03:09.957.01 Willful disregard of Agency rules, regulations, policies or procedures",Sexual Misconduct and Harassment,,
"DR.03:09.932.01 - Group 2 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. - 16 hours of suspension",Neglect of Duty and Professionalism,,
"DR.03:09.931 (B) - failure to act when necessary. Group 3 - DR.03:09.957.01 - Failure to observe policy - Willful disregard of Agency rules, regulations, policies or procedures. Suspension - 40 hours",Neglect of Duty and Professionalism,,
"SOP.1100:02.000 - It is the policy of the Agency that all evidence and property recovered or turned into this agency be properly packaged, handled, recorded, stored and accounted for - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with polcy and procedure - 24 hour suspension",Mishandling Evidence,,
"Group 1 - DR.03:.09.916.01 - job performance - b inadquate or unsatisfactory job performance, c. unsatisfactory work or failure to maintain required standard of performance - suspension 8 hours",Neglect of Duty and Professionalism,,
DR.03:09.916.01 B - Inadequate or unsatifactory job performance. DR.03:09.920.01 a Failure to follow saftey rules and procedures- written reprimand,Neglect of Duty and Professionalism,,
Warning - Verbal Warning,Neglect of Duty and Professionalism,,
DR.03:09.911.01 Chronic unexexused tardiness or absenceses,Neglect of Duty and Professionalism,,
DR.03:09.977.01 - Sleeping while on duty or working off-duty details - 40 hours suspension,Neglect of Duty and Professionalism,,
"Group 3- DR.03:09.952.01 - Alcohol/Drugs - b. Possessing, selling or being under the influence of illegal drugs while on or off duty - DR.03:09.957.01 - Willful disregard of Agency rules, reguations, policies or procedure - DR.03:09.970.01 - Job Performance - a. Wantoin or willful neglect of duties - DR.03:09..977.01 - Sleeping on duty - termination",Engaging in Criminal Activity,,
"Group 2 - DR.03:09.933.01 - Language/ conduct - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees - suspension 8 hours",Neglect of Duty and Professionalism,,
Dr.03:09.932.01 Failure to follow supervisors instructions,Neglect of Duty and Professionalism,,
"DR.03:09.972.01 - Misusing information, including but not limted to, information obtained through NCIC and/or any other law enforcement/criminal justice/public safety-related network (See SOP.2050:02.070 NLETS AND NCIC - SUSPENSION 40 HOURS, OF ACCESS TO LLETS/CJIS; Work details for 30 days; driving his unit for one month",Excessive Use of Force,,
"LRS 14:35 Simple Battery DR.03:09.955.01 - Engaging in any criminal conduct either on or off the job,DR.03.09.955.01 f - taking any action which will impair the efficiency or reputation of the Agency, its members or employees",Engaging in Criminal Activity,,
"DR.03:09.957.01 - Failure to Observe Policy - Willful disregard of Agency rules, regulations, policies or procedures by violating DR.03:09.500.01 - Dishonesty - SOP 480:01.121.01 - Disciplinary Procedures for Details - 30 days from working details - 4o hours suspension, 60 day suspension of his take home unit",Neglect of Duty and Professionalism,,
DR:0309.916 (b) - Inadequate or unsatisfactory job performance DR.03:09.916 © - Unsatisfactory work or failure to maintain required standard of performance - 24 hour suspension,Neglect of Duty and Professionalism,,
Group 2 -DR.03:09.932.01 - Failure to follow supervisor instructions performed assigned work or otherwise comply with policy and procedure - Group 3 - DR.03:09.970.01 a. Wanton or willful neglect of duties - allowing inmates to use telephone and visit - termination,Neglect of Duty and Professionalism,,
Group 2 - Failure to act when necessary - suspension 8 hours,Neglect of Duty and Professionalism,,
DR.03:09.:915.01 - Employee Relations: Interfering with the work of others. - warning,Neglect of Duty and Professionalism,,
Unsatisfactory Work Performance - Suspension - 16 hours,Neglect of Duty and Professionalism,,
Cash balances procedures - SOP.0085.01.010.01 - paragraph 3 - warmomg,Other Allegation,,
Failed to secure fire door - warning,Neglect of Duty and Professionalism,,
DR.03:09.931.02b - failure to report a vehcile accident or incident - written reprimand,Improper Use or Destruction of Equipment,,
"DR.03:09.957.01 - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees : DR. 03:09.955 b. conducting violating morality or common decency, including sexual harassment, age discrimination, race discrimination, religious discrimination, or other conduct whick violates federal and state discrimination or civil right laws; DR. 03:09.957.01 - Willful disregard to Agency rules, regulations, policies or procedures - demotion",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - insubordination - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - DR.03:09.919 - failing to make a written report - suspension 24 hours",Neglect of Duty and Professionalism,,
"Shoplifting RS 14:67.10 - Grp 3 - DR.03.09.955.01 - d - engaging in any criminal conduct either on or off the job; DR.03.09.955.01 f - taking any action which will impair the efficiency or reputation of the Agency, its members or employees; DR.03.09.960.01 d - knowling making any false official statement - termination",Engaging in Criminal Activity,,
Unauthorized use or misuse of Agency's property & Failure to properly supervise subordinates - suspension 8 hours,Improper Use or Destruction of Equipment,,
"Dy Rahman contacted Sgt Vittitoe due to the accident in SO vehicle - DR.07100.500 - Routine Operation - In case of an accident or damage to any Agency vehicle, the driver will immediatley request a ranking deputy to the scene. - DR.03:09.931.02 - Failure to Act b. failure to report a vehicle accident or incident. c. failure to act when necessary - d. failure to properly supervise subordinates, or to follow through with appropriate disciplinary action when knowledge of a violation is observed and/or reported/discovered - DR.03:09.932.01 Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - 16 hours suspension",Improper Use or Destruction of Equipment,,
Group 1 - DR.03:09.916.01D - Failure to follow safety rules and procedures DR.03:09.920.01 - warning,Neglect of Duty and Professionalism,,
Dr.03:09.919 - Failure to submit properly written reports within a reasonable time as per regulation - warning. Dr.03:09.931.2 Failure to supervise. Dr.03:09.932.01 Failure to follow supervisors instructions Dr. 03.09.970.01 Wanton or willful neglect of duties.,Neglect of Duty and Professionalism,,
